name	address	city	area	averagePriceUnit	averagePrice	buildingTime	propertyFee	propertyCompany	developerName	roomAmount	buildingAmount	volumeRate	greeningRate
悦达南郊华都	望园路2509弄	上海	奉贤	元/平	16441	1900年建	暂无信息	暂无信息	暂无信息	3324户	7栋	1.18	40.5%
东南新村（浦东）	张扬路310弄	上海	浦东	元/平	73953	1987年建	暂无信息	暂无信息	暂无信息	1204户	56栋	2.4	30.0%
体育场路22支弄	体育场路22支弄	上海	奉贤	元/平	15425	1900年建	暂无信息	暂无信息	暂无信息	7户	4栋	0.0	0.0%
新建西路101弄	新建西路101弄	上海	奉贤	元/平	16250	1900年建	暂无信息	暂无信息	暂无信息	4户	3栋	0.0	0.0%
申凡苑	南亭公路360弄	上海	奉贤	元/平	26700	2004年建	暂无信息	暂无信息	暂无信息	283户	9栋	1.9	35.0%
保利西子湾	广富林路1188弄	上海	松江	元/平	37927	2009年建	暂无信息	暂无信息	暂无信息	3350户	70栋	1.5	50.0%
江南清漪园	城南路303弄	上海	浦东	元/平	26647	2004年建	暂无信息	暂无信息	暂无信息	580户	33栋	1.58	45.0%
申云小区	城南路260弄,广衍路18弄,广衍路17弄	上海	浦东	元/平	21238	2001年建	暂无信息	暂无信息	暂无信息	346户	35栋	0.0	0.0%
滨江凯旋门	浦明路688弄,张杨路98号	上海	浦东	元/平	138407	2013年建	暂无信息	暂无信息	暂无信息	375户	7栋	2.4	35.0%
丹桂佳苑	南团公路858弄	上海	浦东	元/平	21879	2009年建	暂无信息	暂无信息	暂无信息	1428户	120栋	1.5	25.0%
锦龙苑	聚丰园路388弄	上海	宝山	元/平	47138	2007年建	暂无信息	暂无信息	暂无信息	1016户	83栋	0.59	70.0%
银河丽湾	百通路88弄	上海	奉贤	元/平	35613	2013年建	暂无信息	暂无信息	暂无信息	507户	9栋	3.8	40.0%
佳景公寓	交通路1461弄71-73号	上海	普陀	元/平	55213	2007年建	暂无信息	暂无信息	暂无信息	56户	3栋	1.6	20.0%
交通路1401弄	交通路1401弄	上海	普陀	元/平	46453	1991年建	暂无信息	暂无信息	暂无信息	719户	33栋	0.7	30.0%
祁连四村	祁连山路2777弄	上海	宝山	元/平	42663	1998年建	暂无信息	暂无信息	暂无信息	670户	56栋	2.3	37.0%
黄浦房产	潍坊西路100弄	上海	浦东	元/平	69568	1996年建	暂无信息	暂无信息	暂无信息	287户	3栋	2.8	33.0%
金地佘山天境（公寓）	嘉松中路6888弄	上海	青浦	元/平	45927	2015年建	暂无信息	暂无信息	暂无信息	444户	43栋	1.0	52.0%
凯迪澳澜湾	嘉松中路6633弄	上海	青浦	元/平	33165	2010年建	暂无信息	暂无信息	暂无信息	228户	229栋	0.47	50.0%
凯迪赫菲庄园	嘉松中路6633弄	上海	青浦	元/平	43256	2013年建	暂无信息	暂无信息	暂无信息	182户	181栋	0.45	50.0%
绿地新里派克公馆	秀淳路233弄	上海	青浦	元/平	30305	2015年建	暂无信息	暂无信息	暂无信息	520户	16栋	2.0	35.0%
康敏苑	康锦路52弄,靖海南路488弄	上海	浦东	元/平	28811	2012年建	暂无信息	暂无信息	暂无信息	608户	44栋	1.1	30.0%
东城花苑二村	拱极路2381弄	上海	浦东	元/平	26928	2002年建	暂无信息	暂无信息	暂无信息	110户	128栋	2.0	38.0%
安谐路99弄	安谐路99弄	上海	嘉定	元/平	15357	2013年建	暂无信息	暂无信息	暂无信息	346户	5栋	0.0	0.0%
唐朝酒店	宝安公路4339号	上海	嘉定	元/平	13247	2007年建	暂无信息	暂无信息	暂无信息	653户	2栋	0.0	0.0%
绿地海域苏河源（公寓）	博园路8085弄	上海	嘉定	元/平	33879	1900年建	暂无信息	暂无信息	暂无信息	1157户	89栋	0.0	0.0%
大众春盛苑	嘉松北路7222弄	上海	嘉定	元/平	24281	2008年建	暂无信息	暂无信息	暂无信息	1860户	146栋	1.17	49.0%
惠南一方新城	迎薰路222弄	上海	浦东	元/平	30611	2013年建	暂无信息	暂无信息	暂无信息	884户	42栋	1.3	40.0%
珠江悦公馆	沪青平公路2799弄	上海	青浦	元/平	22224	2016年建	暂无信息	暂无信息	暂无信息	1220户	13栋	3.1	0.0%
三林安居苑	三林路1662弄5-173号	上海	浦东	元/平	53137	1998年建	暂无信息	暂无信息	暂无信息	2003户	157栋	1.1	40.0%
绿地新江桥城（一期）	金耀南路300弄	上海	嘉定	元/平	37889	2011年建	暂无信息	暂无信息	暂无信息	1763户	32栋	2.8	30.0%
朗庭上郡苑（公寓）	朗亭路288弄	上海	松江	元/平	35162	2010年建	暂无信息	暂无信息	暂无信息	990户	47栋	0.8	45.0%
半岛花园别墅	涞亭南路169弄	上海	松江	元/平	37457	2002年建	暂无信息	暂无信息	暂无信息	151户	152栋	0.0	0.0%
新里米兰公寓	雅丹路789弄	上海	嘉定	元/平	27489	2012年建	暂无信息	暂无信息	暂无信息	582户	10栋	1.9	40.0%
新词商务酒店	墨玉路29号	上海	嘉定	元/平	14736	2010年建	暂无信息	暂无信息	暂无信息	5户	2栋	0.0	0.0%
象屿品城	雪家桥路1弄	上海	松江	元/平	38407	2015年建	暂无信息	暂无信息	暂无信息	2071户	83栋	1.5	35.0%
博泰景苑	和静路1585弄	上海	嘉定	元/平	22661	2005年建	暂无信息	暂无信息	暂无信息	485户	38栋	1.33	42.0%
芙蓉新村	泽普路318弄	上海	嘉定	元/平	22895	2002年建	暂无信息	暂无信息	暂无信息	992户	86栋	2.5	35.0%
江桥二村	申江路19弄,曲江路100弄,丰江路128弄,曲江路201弄,曲江路185弄,曲江路99弄,曲江路15弄,曲江路16弄,华江公路107弄	上海	嘉定	元/平	34478	2000年建	暂无信息	暂无信息	暂无信息	4070户	258栋	1.6	30.0%
汇丰沁苑	临夏路800弄,临夏路801弄	上海	嘉定	元/平	38335	2009年建	暂无信息	暂无信息	暂无信息	1252户	58栋	1.95	40.0%
